shipment_id,order_id,courier_partner,delivery_mode,shipment_date,estimated_delivery_date,actual_delivery_date,delivery_status,tracking_number,shipping_cost,shipping_distance_km,warehouse_location,delivery_city,delivery_attempts,delivery_rating,on_time_delivery,delay_reason
1923,1923,XpressBees,Standard,10-04-2023 04:00,14-04-2023,13-04-2023,Delivered,TRKL0TI4NRBBJ3K,113.31,78,Delhi Warehouse,Bengaluru,1,4,TRUE,
1924,1924,Ecom Express,Standard,10-04-2023 10:00,16-04-2023,17-04-2023,Delivered,TRKL5ZNLNCJ7XZY,61.74,697,Chennai Warehouse,Chennai,1,5,FALSE,
1925,1925,Delhivery,Standard,12-04-2023 02:00,16-04-2023,15-04-2023,Delivered,TRKDD4SIJZV07EY,163.65,1786,Delhi Warehouse,Ahmedabad,1,5,TRUE,
1926,1926,Ekart,Same Day,12-04-2023 04:00,12-04-2023,12-04-2023,Delivered,TRKCZHZEQ3MN9X6,232.54,335,Mumbai Warehouse,Mumbai,1,4,TRUE,
1927,1927,Blue Dart,Standard,11-04-2023 01:00,17-04-2023,16-04-2023,Delivered,TRKARXXLHY4UXMW,99.13,2089,Bengaluru Warehouse,Pune,1,3,TRUE,
1928,1928,Ecom Express,Same Day,10-04-2023 08:00,10-04-2023,10-04-2023,Delivered,TRKLQGASGK783NC,131.56,644,Hyderabad Warehouse,Kolkata,1,3,TRUE,
1929,1929,XpressBees,Standard,12-04-2023 01:00,18-04-2023,18-04-2023,Delivered,TRKZ2GPILEREKJS,59.13,1483,Chennai Warehouse,Lucknow,1,5,TRUE,
1930,1930,Blue Dart,Standard,10-04-2023 09:00,14-04-2023,14-04-2023,Delivered,TRK1XIJBW4SE9DN,136.38,1307,Bengaluru Warehouse,Kolkata,1,5,TRUE,
1931,1931,Delhivery,Standard,10-04-2023 04:00,14-04-2023,14-04-2023,Delivered,TRKKKLDIXS5B4M6,43.19,289,Delhi Warehouse,Hyderabad,1,3,TRUE,
1932,1932,Ekart,Standard,12-04-2023 02:00,19-04-2023,19-04-2023,Delivered,TRKW0SQGOVXLCM4,104.21,1957,Ahmedabad Warehouse,Kolkata,1,4,TRUE,
1933,1933,Ekart,Standard,12-04-2023 07:00,19-04-2023,19-04-2023,Delivered,TRKED5RB8MGBC52,158.59,1834,Mumbai Warehouse,Mumbai,1,2,TRUE,
1934,1934,Ecom Express,Standard,10-04-2023 11:00,16-04-2023,,In Transit,TRK1DKHO9C90WXL,192.24,881,Hyderabad Warehouse,Pune,0,,,
1935,1935,DTDC,Next Day,11-04-2023 09:00,12-04-2023,12-04-2023,Delivered,TRK3U62ER6EU6RL,142.42,2178,Delhi Warehouse,Lucknow,2,5,TRUE,
1936,1936,Delhivery,Standard,11-04-2023 02:00,16-04-2023,16-04-2023,Delivered,TRKT9Z04Q3QTMAY,77.33,2106,Chennai Warehouse,Chennai,1,5,TRUE,
1937,1937,Delhivery,Standard,11-04-2023 08:00,17-04-2023,17-04-2023,Delivered,TRK31VGLIVHO8KT,98.61,2016,Mumbai Warehouse,Pune,1,4,TRUE,
1938,1938,Delhivery,Standard,12-04-2023 01:00,19-04-2023,18-04-2023,Delivered,TRKKQKP90NE6YIW,75.45,922,Ahmedabad Warehouse,Ahmedabad,1,4,TRUE,
1939,1939,XpressBees,Standard,11-04-2023 07:00,17-04-2023,17-04-2023,Delivered,TRKW5MXVWBQ2C6X,65.39,1155,Hyderabad Warehouse,Chennai,1,5,TRUE,
1940,1940,Blue Dart,Standard,10-04-2023 01:00,17-04-2023,17-04-2023,Delivered,TRKQ8VDGWMQEBN2,203.01,639,Chennai Warehouse,Delhi,1,4,TRUE,
1941,1941,Ekart,Standard,12-04-2023 08:00,18-04-2023,18-04-2023,Delivered,TRK10HLSEFGBCP6,72.76,657,Kolkata Warehouse,Bengaluru,1,5,TRUE,
1942,1942,DTDC,Standard,10-04-2023 10:00,14-04-2023,14-04-2023,Delivered,TRKQIGBU990MZ9H,147.85,1704,Kolkata Warehouse,Mumbai,1,4,TRUE,
1943,1943,Ekart,Express,10-04-2023 06:00,13-04-2023,,In Transit,TRKJYEOUJD022YB,63.84,2149,Pune Warehouse,Jaipur,0,,,
1944,1944,XpressBees,Standard,11-04-2023 11:00,15-04-2023,15-04-2023,Delivered,TRK8DNZ3LVR26OM,239.01,1023,Kolkata Warehouse,Pune,1,5,TRUE,
1945,1945,DTDC,Express,10-04-2023 04:00,12-04-2023,12-04-2023,Delivered,TRKCY7QFUJ7VLSG,144.01,908,Mumbai Warehouse,Bengaluru,1,5,TRUE,
1946,1946,XpressBees,Express,10-04-2023 01:00,13-04-2023,13-04-2023,Delivered,TRK861SECHXG7FH,246.74,1864,Ahmedabad Warehouse,Jaipur,1,2,TRUE,
1947,1947,Blue Dart,Standard,11-04-2023 05:00,15-04-2023,15-04-2023,Delivered,TRKWJTVTOKD7GD0,207.09,1011,Mumbai Warehouse,Kolkata,1,5,TRUE,
1948,1948,Ekart,Standard,10-04-2023 10:00,17-04-2023,17-04-2023,Delivered,TRK0W0BRNB84XX9,65.36,337,Chennai Warehouse,Kolkata,1,5,TRUE,
1949,1949,Delhivery,Express,11-04-2023 03:00,14-04-2023,14-04-2023,Delivered,TRKLHO3G839JY19,46.96,154,Kolkata Warehouse,Ahmedabad,1,5,TRUE,
1950,1950,DTDC,Next Day,10-04-2023 09:00,11-04-2023,12-04-2023,Delivered,TRKGGOV1CRMGVGQ,231.4,983,Pune Warehouse,Kolkata,1,5,FALSE,
1951,1951,Blue Dart,Express,10-04-2023 09:00,12-04-2023,,In Transit,TRKP2R7DOYFY574,91.82,2280,Chennai Warehouse,Delhi,0,,,
1952,1952,XpressBees,Same Day,10-04-2023 06:00,10-04-2023,10-04-2023,Delivered,TRKBH3HSOWMWGOS,144.93,1177,Hyderabad Warehouse,Hyderabad,1,5,TRUE,
1953,1953,Delhivery,Standard,11-04-2023 06:00,17-04-2023,17-04-2023,Delivered,TRK9AHO3K5WUIH2,45.3,2004,Bengaluru Warehouse,Pune,1,5,TRUE,
1954,1954,Ekart,Standard,10-04-2023 07:00,15-04-2023,15-04-2023,Delivered,TRK5LF30EI0IOU8,172.48,1160,Kolkata Warehouse,Jaipur,1,5,TRUE,
1955,1955,Ecom Express,Standard,12-04-2023 01:00,18-04-2023,18-04-2023,Delivered,TRKA23BT0JWI0P9,62.01,2072,Kolkata Warehouse,Delhi,1,5,TRUE,
1956,1956,Ekart,Standard,11-04-2023 02:00,18-04-2023,18-04-2023,Delivered,TRK6DLMFBDWU1G7,207.42,779,Ahmedabad Warehouse,Pune,1,5,TRUE,
1957,1957,Ecom Express,Express,11-04-2023 11:00,13-04-2023,13-04-2023,Delivered,TRK25IUPZ883LFU,154.8,2448,Bengaluru Warehouse,Bengaluru,1,3,TRUE,
1958,1958,Ekart,Standard,13-04-2023 01:00,17-04-2023,18-04-2023,Delivered,TRKGUUDJO7417PZ,228.27,655,Mumbai Warehouse,Ahmedabad,1,3,FALSE,
1959,1959,Delhivery,Same Day,12-04-2023 11:00,12-04-2023,12-04-2023,Delivered,TRKC8N3VO0EN9UU,176.25,2397,Pune Warehouse,Chennai,1,4,TRUE,
1960,1960,Blue Dart,Standard,11-04-2023 11:00,17-04-2023,16-04-2023,Delivered,TRK4FHRQJ6FF4YE,182.77,444,Bengaluru Warehouse,Bengaluru,1,4,TRUE,
1961,1961,Ekart,Standard,13-04-2023 01:00,17-04-2023,,In Transit,TRKLBG7T0LSHGDK,94.05,1878,Hyderabad Warehouse,Delhi,0,,,
1962,1962,Blue Dart,Express,12-04-2023 01:00,14-04-2023,14-04-2023,Delivered,TRKCPCYWC9I31JW,129.56,942,Hyderabad Warehouse,Bengaluru,1,3,TRUE,
1963,1963,Blue Dart,Standard,13-04-2023 10:00,18-04-2023,19-04-2023,Delivered,TRK8YFOTUX6J1YG,62.63,2360,Kolkata Warehouse,Jaipur,2,5,FALSE,
1964,1964,Delhivery,Express,12-04-2023 09:00,14-04-2023,14-04-2023,Delivered,TRKNKVDKIPDHSP2,179.4,740,Delhi Warehouse,Kolkata,1,5,TRUE,
1965,1965,Ekart,Standard,11-04-2023 06:00,15-04-2023,14-04-2023,Delivered,TRK123NCRJAV6NI,90.61,2002,Ahmedabad Warehouse,Mumbai,1,5,TRUE,
1966,1966,XpressBees,Express,13-04-2023 04:00,15-04-2023,15-04-2023,Delivered,TRKP94JTGHW9X5T,121.45,2453,Ahmedabad Warehouse,Pune,1,4,TRUE,
1967,1967,XpressBees,Standard,12-04-2023 07:00,18-04-2023,18-04-2023,Delivered,TRKWM5QM2J4PKI4,203.62,609,Delhi Warehouse,Lucknow,1,4,TRUE,
1968,1968,Ekart,Standard,12-04-2023 07:00,18-04-2023,19-04-2023,Delivered,TRKDE71WOO0HLLS,132.4,1225,Mumbai Warehouse,Lucknow,1,5,FALSE,
1969,1969,Blue Dart,Standard,13-04-2023 06:00,20-04-2023,21-04-2023,Delivered,TRKTYNU5Q1OSSO2,227.75,1490,Chennai Warehouse,Hyderabad,1,5,FALSE,
1970,1970,Ecom Express,Express,12-04-2023 03:00,15-04-2023,15-04-2023,Delivered,TRKRC38P58M1MHJ,81.19,2078,Kolkata Warehouse,Pune,1,5,TRUE,
1971,1971,XpressBees,Standard,12-04-2023 08:00,17-04-2023,18-04-2023,Delivered,TRK0ZSLWEUZ1KHL,153,2370,Hyderabad Warehouse,Mumbai,1,5,FALSE,
1972,1972,Delhivery,Standard,12-04-2023 11:00,16-04-2023,15-04-2023,Delivered,TRK6T8RBA2FYRY9,137.15,1295,Kolkata Warehouse,Pune,1,5,TRUE,
1973,1973,Ekart,Standard,11-04-2023 00:00,18-04-2023,18-04-2023,Delivered,TRKLYABZM36WKR3,178.37,2020,Ahmedabad Warehouse,Lucknow,1,4,TRUE,
1974,1974,Delhivery,Standard,11-04-2023 04:00,15-04-2023,15-04-2023,Delivered,TRKUFV3DZWAVMC0,53.13,646,Mumbai Warehouse,Jaipur,1,3,TRUE,
1975,1975,Ekart,Standard,13-04-2023 00:00,19-04-2023,19-04-2023,Returned,TRKGWJ8RR1L7KEN,107.62,2084,Hyderabad Warehouse,Ahmedabad,1,1,,
1976,1976,Ecom Express,Standard,12-04-2023 11:00,19-04-2023,20-04-2023,Delivered,TRKU2UKHE2O1J4J,159.85,1211,Mumbai Warehouse,Hyderabad,1,5,FALSE,
1977,1977,Ecom Express,Standard,13-04-2023 01:00,20-04-2023,21-04-2023,Delivered,TRKZX7ZB146DZF9,195.25,1186,Hyderabad Warehouse,Hyderabad,1,4,FALSE,
1978,1978,Ecom Express,Standard,13-04-2023 10:00,18-04-2023,18-04-2023,Delivered,TRKQWSYX3T8C7IT,241.93,1560,Delhi Warehouse,Jaipur,2,1,TRUE,
1979,1979,Ecom Express,Standard,12-04-2023 12:00,17-04-2023,18-04-2023,Delivered,TRKIMLX6VYM6QGO,180.73,1316,Pune Warehouse,Ahmedabad,2,4,FALSE,
1980,1980,Blue Dart,Standard,12-04-2023 10:00,17-04-2023,17-04-2023,Delivered,TRKCWWJABXXWNRS,187.5,943,Bengaluru Warehouse,Mumbai,1,4,TRUE,
1981,1981,Blue Dart,Standard,14-04-2023 12:00,18-04-2023,19-04-2023,Delivered,TRKHSQ8LH1TBGKO,218.53,921,Ahmedabad Warehouse,Hyderabad,1,4,FALSE,
1982,1982,Blue Dart,Same Day,13-04-2023 08:00,13-04-2023,13-04-2023,Delivered,TRKA79Z67YYKL4R,109.55,320,Bengaluru Warehouse,Mumbai,1,5,TRUE,
1983,1983,DTDC,Standard,14-04-2023 11:00,21-04-2023,21-04-2023,Delivered,TRK0QLWE10W7TUA,79.64,440,Bengaluru Warehouse,Pune,1,4,TRUE,
1984,1984,Delhivery,Express,12-04-2023 10:00,15-04-2023,15-04-2023,Delivered,TRKQV3Q95EPQXRV,200.01,2467,Mumbai Warehouse,Pune,1,5,TRUE,
1985,1985,Blue Dart,Standard,12-04-2023 07:00,19-04-2023,19-04-2023,Delivered,TRKRPDHKUZUX887,215.49,692,Bengaluru Warehouse,Delhi,1,5,TRUE,
1986,1986,Blue Dart,Standard,14-04-2023 05:00,18-04-2023,18-04-2023,Delivered,TRK1R71PHQUZ3MP,194.13,327,Chennai Warehouse,Bengaluru,1,5,TRUE,
1987,1987,Ekart,Next Day,13-04-2023 06:00,14-04-2023,14-04-2023,Delivered,TRK0LU57BQ0U75C,115.2,2011,Pune Warehouse,Ahmedabad,1,5,TRUE,
1988,1988,XpressBees,Standard,13-04-2023 06:00,20-04-2023,20-04-2023,Delivered,TRK8RM4T2KO4YWH,223.24,1567,Kolkata Warehouse,Bengaluru,1,5,TRUE,
1989,1989,DTDC,Standard,12-04-2023 12:00,19-04-2023,19-04-2023,Delivered,TRKGGG1IAUYKZN9,220.37,666,Bengaluru Warehouse,Mumbai,2,5,TRUE,
1990,1990,DTDC,Same Day,12-04-2023 04:00,12-04-2023,12-04-2023,Delivered,TRKYEVLN2V0TIW5,95.35,1310,Ahmedabad Warehouse,Delhi,1,4,TRUE,
1991,1991,XpressBees,Standard,14-04-2023 10:00,18-04-2023,18-04-2023,Delivered,TRKFTRYC9UBTRKU,112.96,1411,Pune Warehouse,Lucknow,1,5,TRUE,
1992,1992,DTDC,Next Day,13-04-2023 03:00,14-04-2023,14-04-2023,Delivered,TRKYK9L1WDX68C4,218.63,1308,Delhi Warehouse,Mumbai,1,5,TRUE,
1993,1993,XpressBees,Standard,14-04-2023 04:00,20-04-2023,20-04-2023,Delivered,TRKFY635GW8LU3T,97.24,1247,Delhi Warehouse,Mumbai,1,5,TRUE,
1994,1994,DTDC,Standard,13-04-2023 01:00,17-04-2023,17-04-2023,Delivered,TRK943UN69YDYVE,136.18,29,Ahmedabad Warehouse,Ahmedabad,1,5,TRUE,
1995,1995,XpressBees,Standard,14-04-2023 03:00,21-04-2023,21-04-2023,Delivered,TRKTFQCOWEEVX3N,105.77,1512,Pune Warehouse,Lucknow,1,5,TRUE,
1996,1996,Delhivery,Next Day,14-04-2023 02:00,15-04-2023,15-04-2023,Delivered,TRKMCE71J9ZND8Q,66.13,942,Mumbai Warehouse,Pune,1,3,TRUE,
1997,1997,XpressBees,Standard,14-04-2023 10:00,21-04-2023,21-04-2023,Delivered,TRKITRZRAUD2YZD,140.1,368,Chennai Warehouse,Lucknow,1,5,TRUE,
1998,1998,DTDC,Next Day,12-04-2023 03:00,13-04-2023,14-04-2023,Delivered,TRKWPY51FS1OIS1,95.85,353,Bengaluru Warehouse,Bengaluru,1,4,FALSE,
1999,1999,Ecom Express,Standard,14-04-2023 02:00,19-04-2023,19-04-2023,Delivered,TRKKSXZ5ER12D5V,214.41,241,Bengaluru Warehouse,Pune,1,4,TRUE,
2000,2000,DTDC,Same Day,14-04-2023 05:00,14-04-2023,15-04-2023,Returned,TRKKE1RZT23942I,164.15,2113,Mumbai Warehouse,Pune,3,2,,
2001,2001,Blue Dart,Standard,12-04-2023 00:00,18-04-2023,18-04-2023,Delivered,TRKRI7SIS1BWMF8,139.33,392,Bengaluru Warehouse,Chennai,1,5,TRUE,
2002,2002,DTDC,Standard,12-04-2023 01:00,19-04-2023,22-04-2023,Delayed,TRKBEDEA4XPZWYH,41.83,692,Mumbai Warehouse,Kolkata,2,4,FALSE,Traffic
2003,2003,Ecom Express,Standard,14-04-2023 01:00,18-04-2023,19-04-2023,Delivered,TRKLV3C3K77JJ6V,93.82,2395,Kolkata Warehouse,Jaipur,1,5,FALSE,
2004,2004,Ekart,Express,14-04-2023 12:00,16-04-2023,16-04-2023,Delivered,TRKQMIJAJNDKJP2,92.65,461,Chennai Warehouse,Pune,1,5,TRUE,
2005,2005,DTDC,Express,13-04-2023 05:00,15-04-2023,15-04-2023,Delivered,TRKLAUIAIC7KC7D,147.44,1572,Kolkata Warehouse,Bengaluru,1,4,TRUE,
2006,2006,Ekart,Standard,15-04-2023 03:00,20-04-2023,19-04-2023,Delivered,TRK9JFJFL12Z4YJ,141.58,519,Bengaluru Warehouse,Ahmedabad,1,5,TRUE,
2007,2007,Blue Dart,Standard,14-04-2023 02:00,18-04-2023,18-04-2023,Delivered,TRK3BY4II7VXTRQ,231.94,906,Ahmedabad Warehouse,Chennai,2,5,TRUE,
2008,2008,Delhivery,Standard,15-04-2023 03:00,22-04-2023,23-04-2023,Delivered,TRKFDV21NDCS1UY,183.3,947,Bengaluru Warehouse,Kolkata,2,4,FALSE,
2009,2009,XpressBees,Standard,13-04-2023 12:00,19-04-2023,19-04-2023,Delivered,TRK2AJH706LGLGU,65.22,572,Hyderabad Warehouse,Bengaluru,1,4,TRUE,
2010,2010,Ekart,Standard,13-04-2023 04:00,17-04-2023,17-04-2023,Delivered,TRKF1384BAXY8QE,223.05,1212,Hyderabad Warehouse,Pune,1,5,TRUE,
2011,2011,Blue Dart,Standard,15-04-2023 10:00,22-04-2023,21-04-2023,Delivered,TRKIUBR6D6NWTV7,75.85,2079,Chennai Warehouse,Ahmedabad,1,5,TRUE,
2012,2012,Delhivery,Standard,15-04-2023 10:00,20-04-2023,21-04-2023,Delivered,TRKGBNU3M3TD7UR,74.2,1494,Chennai Warehouse,Bengaluru,1,5,FALSE,
2013,2013,DTDC,Next Day,13-04-2023 01:00,14-04-2023,13-04-2023,Delivered,TRK91QOE5IOMQD9,50.15,1235,Pune Warehouse,Bengaluru,1,3,TRUE,
2014,2014,XpressBees,Standard,14-04-2023 03:00,21-04-2023,22-04-2023,Returned,TRK0T2NCN47DVCF,89.72,393,Chennai Warehouse,Ahmedabad,1,2,,
2015,2015,Blue Dart,Standard,13-04-2023 01:00,18-04-2023,19-04-2023,Delivered,TRKBNIAB2YU7YF9,149.47,374,Mumbai Warehouse,Hyderabad,1,5,FALSE,
2016,2016,Ekart,Standard,15-04-2023 10:00,21-04-2023,21-04-2023,Delivered,TRKDN68BNI976F7,86.73,2485,Delhi Warehouse,Kolkata,1,2,TRUE,
2017,2017,Ekart,Standard,14-04-2023 11:00,19-04-2023,19-04-2023,Delivered,TRKRXVJM171K1YM,231.42,322,Ahmedabad Warehouse,Kolkata,1,1,TRUE,
2018,2018,DTDC,Standard,14-04-2023 08:00,18-04-2023,19-04-2023,Delivered,TRKBXK1SR8CPENM,88.18,1650,Delhi Warehouse,Lucknow,1,5,FALSE,
2019,2019,Delhivery,Standard,15-04-2023 10:00,21-04-2023,21-04-2023,Delivered,TRKA0HXV2ZOTTSM,78.55,1442,Mumbai Warehouse,Delhi,2,1,TRUE,
2020,2020,Ecom Express,Next Day,13-04-2023 06:00,14-04-2023,15-04-2023,Delivered,TRKU1ZJMKFU904H,95.21,1858,Ahmedabad Warehouse,Chennai,1,5,FALSE,
2021,2021,Ekart,Standard,15-04-2023 07:00,21-04-2023,22-04-2023,Delivered,TRK6RGLCSMA48S1,185.48,1785,Ahmedabad Warehouse,Jaipur,1,5,FALSE,
2022,2022,XpressBees,Next Day,15-04-2023 02:00,16-04-2023,16-04-2023,Delivered,TRKFMH6AAF28NWN,126.67,2450,Delhi Warehouse,Lucknow,1,4,TRUE,
2023,2023,Ekart,Standard,13-04-2023 05:00,18-04-2023,17-04-2023,Delivered,TRKHWCLO2D8FU8K,48.73,332,Hyderabad Warehouse,Kolkata,1,5,TRUE,
2024,2024,XpressBees,Same Day,14-04-2023 09:00,14-04-2023,15-04-2023,Delivered,TRK8Q3518RWDJ4V,86.65,310,Chennai Warehouse,Mumbai,1,4,FALSE,
2025,2025,Blue Dart,Standard,15-04-2023 01:00,22-04-2023,21-04-2023,Delivered,TRKROBB8W63QBVQ,206.88,713,Ahmedabad Warehouse,Chennai,1,5,TRUE,
2026,2026,Ecom Express,Express,14-04-2023 06:00,16-04-2023,16-04-2023,Delivered,TRK23BR3D71EEZU,119.36,1407,Mumbai Warehouse,Jaipur,1,3,TRUE,
2027,2027,Delhivery,Standard,15-04-2023 00:00,19-04-2023,,In Transit,TRKHJVANQW64B9K,214.77,2339,Delhi Warehouse,Kolkata,0,,,
2028,2028,DTDC,Standard,14-04-2023 03:00,19-04-2023,19-04-2023,Delivered,TRKN1677SNPFC5A,196.17,2344,Pune Warehouse,Delhi,1,5,TRUE,
2029,2029,DTDC,Express,15-04-2023 06:00,18-04-2023,18-04-2023,Delivered,TRK4X264JSLQM4L,244.13,362,Chennai Warehouse,Pune,1,2,TRUE,
2030,2030,Ecom Express,Express,15-04-2023 03:00,17-04-2023,19-04-2023,Delayed,TRKKP748FFOYWWA,77.68,1332,Delhi Warehouse,Ahmedabad,2,3,FALSE,Courier Issue
2031,2031,Ecom Express,Express,15-04-2023 04:00,18-04-2023,18-04-2023,Delivered,TRKRHC76WIZ6P51,75.12,64,Ahmedabad Warehouse,Jaipur,1,5,TRUE,
2032,2032,Ecom Express,Standard,16-04-2023 09:00,23-04-2023,,In Transit,TRK2R9K9LJ3LSJK,105.5,1072,Delhi Warehouse,Mumbai,0,,,
2033,2033,Ekart,Standard,15-04-2023 11:00,19-04-2023,19-04-2023,Delivered,TRKHGSUWG6QH713,211.2,1431,Ahmedabad Warehouse,Delhi,1,5,TRUE,
2034,2034,Ecom Express,Standard,15-04-2023 02:00,22-04-2023,23-04-2023,Delivered,TRKMJC6BBX4IO16,201.38,1270,Chennai Warehouse,Kolkata,1,3,FALSE,
2035,2035,Blue Dart,Standard,16-04-2023 02:00,21-04-2023,21-04-2023,Delivered,TRKMP391S8131YK,92.26,914,Pune Warehouse,Hyderabad,1,2,TRUE,
2036,2036,Blue Dart,Express,16-04-2023 08:00,18-04-2023,18-04-2023,Delivered,TRK2CNQ8DLD7M1D,88.88,319,Ahmedabad Warehouse,Kolkata,1,5,TRUE,
2037,2037,DTDC,Standard,15-04-2023 02:00,19-04-2023,19-04-2023,Delivered,TRKUCHV5NNP011E,154.53,179,Kolkata Warehouse,Chennai,1,4,TRUE,
2038,2038,XpressBees,Standard,14-04-2023 00:00,18-04-2023,19-04-2023,Delivered,TRKBQI1YMUFXWT4,219.54,81,Chennai Warehouse,Hyderabad,1,3,FALSE,
2039,2039,Blue Dart,Next Day,15-04-2023 06:00,16-04-2023,16-04-2023,Delivered,TRKI0QIV55RCD48,185.94,1287,Delhi Warehouse,Delhi,1,5,TRUE,
2040,2040,XpressBees,Standard,15-04-2023 10:00,21-04-2023,20-04-2023,Delivered,TRK0405CRZETVLL,226.61,2093,Chennai Warehouse,Hyderabad,1,5,TRUE,
2041,2041,Ekart,Standard,16-04-2023 12:00,22-04-2023,22-04-2023,Delivered,TRKMV6UVG7KMK07,110.57,1270,Ahmedabad Warehouse,Pune,1,5,TRUE,
2042,2042,DTDC,Standard,16-04-2023 06:00,20-04-2023,20-04-2023,Delivered,TRKLKH0XZPWN79P,214.23,2177,Ahmedabad Warehouse,Ahmedabad,1,5,TRUE,
2043,2043,XpressBees,Standard,14-04-2023 11:00,18-04-2023,18-04-2023,Delivered,TRK7V4GXOH4R0D3,181.05,1458,Bengaluru Warehouse,Chennai,1,5,TRUE,
2044,2044,Ekart,Express,14-04-2023 03:00,16-04-2023,17-04-2023,Delivered,TRKRYNHFKUGMMUL,64.56,519,Ahmedabad Warehouse,Chennai,1,5,FALSE,
2045,2045,Delhivery,Standard,14-04-2023 03:00,20-04-2023,25-04-2023,Delayed,TRKYDCM3T19LF6H,225.64,2123,Hyderabad Warehouse,Chennai,2,4,FALSE,Traffic
2046,2046,Delhivery,Standard,15-04-2023 00:00,20-04-2023,,In Transit,TRKFZRDIX2BV50M,128.35,1221,Ahmedabad Warehouse,Jaipur,0,,,
2047,2047,Ekart,Standard,17-04-2023 01:00,22-04-2023,22-04-2023,Returned,TRKUJCKUH1DL1ZL,154.77,1370,Kolkata Warehouse,Jaipur,1,2,,
2048,2048,Ecom Express,Express,15-04-2023 08:00,17-04-2023,17-04-2023,Delivered,TRKIINELGVD3OH6,185.57,1694,Mumbai Warehouse,Hyderabad,1,5,TRUE,
2049,2049,XpressBees,Standard,16-04-2023 01:00,22-04-2023,22-04-2023,Delivered,TRKBQKMY6QR7E56,183.14,834,Chennai Warehouse,Bengaluru,1,5,TRUE,
2050,2050,Delhivery,Standard,15-04-2023 12:00,20-04-2023,20-04-2023,Delivered,TRKBQMY3OC9G6MQ,86.56,826,Hyderabad Warehouse,Kolkata,1,5,TRUE,
2051,2051,Ekart,Standard,17-04-2023 05:00,21-04-2023,20-04-2023,Delivered,TRK8PWN40E1JJDZ,115.82,355,Bengaluru Warehouse,Kolkata,1,5,TRUE,
2052,2052,Ecom Express,Express,16-04-2023 03:00,19-04-2023,20-04-2023,Delivered,TRK2NA5TYASDWTT,148.11,2408,Hyderabad Warehouse,Chennai,1,4,FALSE,
2053,2053,Ecom Express,Standard,16-04-2023 01:00,20-04-2023,21-04-2023,Delivered,TRK8T5EOA48QNPA,160.9,453,Hyderabad Warehouse,Jaipur,1,5,FALSE,
2054,2054,Ecom Express,Standard,16-04-2023 11:00,21-04-2023,20-04-2023,Delivered,TRKYWGD245M0RRC,67.55,547,Delhi Warehouse,Chennai,1,4,TRUE,
2055,2055,Ekart,Next Day,17-04-2023 03:00,18-04-2023,18-04-2023,Delivered,TRK2MW8PNDSEP5W,108.49,766,Ahmedabad Warehouse,Kolkata,1,5,TRUE,
2056,2056,Delhivery,Standard,16-04-2023 01:00,22-04-2023,23-04-2023,Delivered,TRKD08KIMGKAR9O,185.58,2211,Kolkata Warehouse,Pune,1,5,FALSE,
2057,2057,Ecom Express,Express,16-04-2023 11:00,19-04-2023,19-04-2023,Delivered,TRK44RWUG166S78,93.12,2130,Bengaluru Warehouse,Delhi,1,3,TRUE,
2058,2058,DTDC,Standard,15-04-2023 05:00,19-04-2023,19-04-2023,Delivered,TRKTXLPUP0T2K5C,200.47,240,Kolkata Warehouse,Chennai,1,5,TRUE,
2059,2059,Blue Dart,Standard,17-04-2023 11:00,22-04-2023,22-04-2023,Delivered,TRK13E09WQ4N181,214.56,1529,Mumbai Warehouse,Kolkata,1,4,TRUE,
2060,2060,Blue Dart,Next Day,15-04-2023 03:00,16-04-2023,18-04-2023,Delayed,TRKLD56YJV601S9,132.53,1068,Ahmedabad Warehouse,Ahmedabad,3,4,FALSE,Warehouse Delay
2061,2061,Delhivery,Standard,16-04-2023 05:00,21-04-2023,22-04-2023,Delivered,TRK36HXPO6ZD87R,183.68,573,Ahmedabad Warehouse,Hyderabad,1,3,FALSE,
2062,2062,XpressBees,Standard,18-04-2023 08:00,24-04-2023,25-04-2023,Delivered,TRKQUDKVQ84PXW7,145.12,1476,Ahmedabad Warehouse,Lucknow,1,3,FALSE,
2063,2063,Blue Dart,Standard,18-04-2023 12:00,24-04-2023,24-04-2023,Delivered,TRKY8O4TXVSFAGN,153.17,2040,Hyderabad Warehouse,Pune,1,5,TRUE,
2064,2064,Delhivery,Next Day,16-04-2023 04:00,17-04-2023,18-04-2023,Delivered,TRK9ND3HGUVRBZW,97.24,1834,Bengaluru Warehouse,Mumbai,1,4,FALSE,
2065,2065,Delhivery,Standard,18-04-2023 10:00,23-04-2023,23-04-2023,Delivered,TRKH8TOF1QRF87H,164.02,1319,Mumbai Warehouse,Bengaluru,1,5,TRUE,
2066,2066,Delhivery,Same Day,18-04-2023 03:00,18-04-2023,19-04-2023,Returned,TRKYK3X5ZN9C56B,65.3,803,Hyderabad Warehouse,Jaipur,3,1,,
2067,2067,DTDC,Standard,16-04-2023 02:00,22-04-2023,23-04-2023,Delivered,TRKZGIRICKWLKWE,182.26,1676,Mumbai Warehouse,Hyderabad,1,5,FALSE,
2068,2068,Ekart,Standard,16-04-2023 12:00,23-04-2023,23-04-2023,Delivered,TRKD3RRJ1CMDRMA,138.5,747,Chennai Warehouse,Pune,1,5,TRUE,
